"ID","Latitude","Longitude","Nm_max"
"T8-1",-59.999999998491,-57.5,20
"T8-2",-60.2921841174597,-57.5,20
"T8-3",-60.5841580695002,-57.5,20
"T8-4",-60.8759242533244,-57.5,20
"T8-5",-61.1674850553032,-57.5,20
"T8-6",-61.4588428496541,-57.5,20
"T8-7",-61.7499999986268,-57.5,20
"T9-1",-59.999999998491,-57,20
"T9-2",-60.2921841174597,-57,20
"T9-3",-60.5841580695002,-57,20
"T9-4",-60.8759242533244,-57,20
"T9-5",-61.1674850553032,-57,20
"T9-6",-61.4588428496541,-57,20
"T9-7",-61.7499999986268,-57,20
"T10-1",-59.999999998491,-56.5,20
"T10-2",-60.2921841174597,-56.5,20
"T10-3",-60.5841580695002,-56.5,20
"T10-4",-60.8759242533244,-56.5,20
"T10-5",-61.1674850553032,-56.5,20
"T10-6",-61.4588428496541,-56.5,20
"T10-7",-61.7499999986268,-56.5,20
"T11-1",-59.999999998491,-55.75,20
"T11-2",-60.2921841174597,-55.75,20
"T11-3",-60.5841580695002,-55.75,20
"T11-4",-60.8759242533244,-55.75,20
"T11-5",-61.1674850553032,-55.75,20
"T11-6",-61.4588428496541,-55.75,20
"T11-7",-61.7499999986268,-55.75,20
"T12-1",-59.999999998491,-55,20
"T12-2",-60.2627534709374,-55,20
"T12-3",-60.5253367993794,-55,20
"T12-4",-60.787751729422,-55,20
"T12-5",-61.0499999985756,-55,20
"T13-1",-59.999999998491,-54.5,20
"T13-2",-60.2921841174597,-54.5,20
"T13-3",-60.5841580695002,-54.5,20
"T13-4",-60.8759242533244,-54.5,20
"T13-5",-61.1674850553032,-54.5,20
"T13-6",-61.4588428496541,-54.5,20
"T13-7",-61.7499999986268,-54.5,20
"T14-1",-59.999999998491,-54,20
"T14-2",-60.2627534709374,-54,20
"T14-3",-60.5253367993794,-54,20
"T14-4",-60.787751729422,-54,20
"T14-5",-61.0499999985756,-54,20
"T15-1",-62.9999999987096,-61.5,20
"T15-2",-63.1662254148288,-61.1676086778595,20
"T15-3",-63.332899391469,-60.8342624978221,20
"T15-4",-63.49999999874,-60.5,20
"T16-1",-62.9999999987096,-60.5,20
"T16-2",-63.1662254148288,-60.1676086778595,20
"T16-3",-63.332899391469,-59.8342624978221,20
"T16-4",-63.49999999874,-59.5,20
"T17-1",-62.7499999986939,-60,20
"T17-2",-62.9162253383071,-59.6676086348488,20
"T17-3",-63.0828992626299,-59.3342625498577,20
"T17-4",-63.249999998725,-59,20
"T18-1",-62.4999999986777,-59.5,20
"T18-2",-62.6662253042845,-59.1676085140189,20
"T18-3",-62.8328991770947,-58.8342625226305,20
"T18-4",-62.9999999987096,-58.5,20
"T19-1",-62.4999999986777,-58.5,20
"T19-2",-62.6662253042845,-58.1676085140189,20
"T19-3",-62.8328991770947,-57.8342625226305,20
"T19-4",-62.9999999987096,-57.5,20
"T20-1",-62.2499999986612,-58,20
"T20-2",-62.416225311766,-57.667608317172,20
"T20-3",-62.5828991338607,-57.3342624179526,20
"T20-4",-62.7499999986939,-57,20
"T21-1",-61.9999999986442,-57.4,20
"T21-2",-62.2495696783974,-56.9508445799538,20
"T21-3",-62.4999999986777,-56.5,20
"T22-1",-61.9999999986442,-56,20
"T22-2",-62.2501432558027,-56,20
"T22-3",-62.5001427636082,-56,20
"T22-4",-62.7499999986939,-56,20
"T12b-1",-61.2499999985906,-55,20
"T12b-2",-61.5000738038228,-55,20
"T12b-3",-61.7499999986268,-55,20
"T14b-1",-61.3333329985968,-54,20
"T14b-2",-61.5417176762228,-54,20
"T14b-3",-61.7499999986268,-54,20
"T23b-1",-61.9999999986442,-55,20
"T23b-2",-62.3335869892267,-55,20
"T23b-3",-62.6669191572827,-55,20
"T23b-4",-62.9999999987096,-55,20
"T24b-1",-61.9999999986442,-54,20
"T24b-2",-62.3335869892267,-54,20
"T24b-3",-62.6669191572827,-54,20
"T24b-4",-62.9999999987096,-54,20
"T25-1",-63.0833329987148,-62.25,20
"T25-2",-63.2771180087729,-61.834807067182,20
"T25-3",-63.4715710319962,-61.4181016984472,20
"T25-4",-63.6666669987498,-61,20
"T31-1",-64.0416669987713,-61.416667,20
"T31-2",-64.0499999987719,-61.21,20
"T32-1",-64.1999999987803,-61.65,20
"T32-2",-64.3399999987881,-61.36,20
"T33-1",-64.2999999987859,-61.97,20
"T33-2",-64.4499999987943,-61.68,20
"T34-1",-64.4499999987943,-62.258333,20
"T34-2",-64.4999999987969,-62.09,20
"T35-1",-64.5333329987988,-62.533333,20
"T35-2",-64.5499999987996,-62.5,20
"T6b-1",-59.999999998491,-61.5,20
"T6b-2",-60.211939149772,-61.0761694600032,20
"T6b-3",-60.4247279138676,-60.6506100230691,20
"T6b-4",-60.6383230056778,-60.2234012688878,20
"T6b-5",-60.8527260580481,-59.7945614995948,20
"T6b-6",-61.0678348922795,-59.364391011012,20
"T6b-7",-61.2836087922998,-58.9328409735196,20
"T6b-8",-61.499999998609,-58.5,20
"T5-1",-59.999999998491,-63.5,20
"T5-2",-60.2187721932906,-63.0625172526156,20
"T5-3",-60.4384936913221,-62.6230593290231,20
"T5-4",-60.6592060779008,-62.1816274686644,20
"T5-5",-60.8807559581137,-61.7385507369146,20
"T5-6",-61.1031892846055,-61.2936372438547,20
"T5-7",-61.3263577844582,-60.84735067544,20
"T5-8",-61.5502776887576,-60.3994460890281,20
"T5-9",-61.774842907457,-59.9503809368865,20
"T5-10",-61.9999999986442,-59.5,20
"T3-1",-59.999999998491,-65.5,20
"T3-2",-60.2209716367536,-65.0581207465473,20
"T3-3",-60.442935643783,-64.6141607086724,20
"T3-4",-60.6659636517091,-64.1681300503858,20
"T3-5",-60.8898507409373,-63.7203413558814,20
"T3-6",-61.1147135628201,-63.2706279135525,20
"T3-7",-61.3403117192861,-62.8194181141192,20
"T3-8",-61.5667725676336,-62.3665142294973,20
"T3-9",-61.7938575666727,-61.9123136724531,20
"T3-10",-62.0216645142962,-61.4567367090638,20
"T3-11",-62.2499999986612,-61,20
"T1-1",-59.999999998491,-67.5,20
"T1-2",-60.2239353703843,-67.0521948789125,20
"T1-3",-60.4489418969345,-66.6021216685696,20
"T1-4",-60.675140147393,-66.1497857146663,20
"T1-5",-60.902365309611,-65.6952812899584,20
"T1-6",-61.1304802412562,-65.2391026526617,20
"T1-7",-61.3596234112429,-64.7807944603276,20
"T1-8",-61.5895029408234,-64.3210383508821,20
"T1-9",-61.8203169383594,-63.8594305526581,20
"T1-10",-62.0518352333424,-63.3963389904397,20
"T1-11",-62.2839501841907,-62.9321581975681,20
"T1-12",-62.5167335759527,-62.4665927954069,20
"T1-13",-62.7499999986939,-62,20
"T26-1",-59.999999998491,-69.5,20
