layer_code,layer_name,label,name,active,start_date,end_date,description
SSRU,CCAMLR Fishery Small Scale Research Units,5844aD,58.4.4a D,yes,12/01/2000,,CM 200/XIX
SSRU,CCAMLR Fishery Small Scale Research Units,5844bB,58.4.4b B,yes,12/01/2000,,CM 200/XIX
SSRU,CCAMLR Fishery Small Scale Research Units,586A,58.6 A,no,12/01/2000,1/12/2016,
SSRU,CCAMLR Fishery Small Scale Research Units,586B,58.6 B,yes,12/01/2000,,CM 200/XIX
SSRU,CCAMLR Fishery Small Scale Research Units,586C,58.6 C,yes,12/01/2000,,CM 200/XIX
SSRU,CCAMLR Fishery Small Scale Research Units,586D,58.6 D,yes,12/01/2000,,CM 200/XIX
SSRU,CCAMLR Fishery Small Scale Research Units,587A,58.7 A,yes,12/01/2000,,CM 200/XIX
SSRU,CCAMLR Fishery Small Scale Research Units,881A,88.1 A,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881B,88.1 B,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881C,88.1 C,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881D,88.1 D,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881E,88.1 E,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881F,88.1 F,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881G,88.1 G,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881H,88.1 H,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881I,88.1 I,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881J,88.1 J,yes,12/01/2008,,CM 41-01 (2008)
SSRU,CCAMLR Fishery Small Scale Research Units,881K,88.1 K,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881L,88.1 L,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,881M,88.1 M,yes,12/01/2008,,CM 41-01 (2008)
SSRU,CCAMLR Fishery Small Scale Research Units,882A,88.2 A,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,882B,88.2 B,yes,12/01/2002,,CM 41-01 (2002)
SSRU,CCAMLR Fishery Small Scale Research Units,882C,88.2 C,yes,12/01/2011,,CM 41-01 (2011)
SSRU,CCAMLR Fishery Small Scale Research Units,882D,88.2 D,yes,12/01/2011,,CM 41-01 (2011)
SSRU,CCAMLR Fishery Small Scale Research Units,882E,88.2 E,yes,12/01/2011,,CM 41-01 (2011)
SSRU,CCAMLR Fishery Small Scale Research Units,882F,88.2 F,yes,12/01/2011,,CM 41-01 (2011)
SSRU,CCAMLR Fishery Small Scale Research Units,882G,88.2 G,yes,12/01/2011,,CM 41-01 (2011)
SSRU,CCAMLR Fishery Small Scale Research Units,882H,88.2 H,yes,12/01/2011,,CM 41-01 (2011)
SSRU,CCAMLR Fishery Small Scale Research Units,882I,88.2 I,yes,12/01/2011,,CM 41-01 (2011)
SSRU,CCAMLR Fishery Small Scale Research Units,883A,88.3 A,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,883B,88.3 B,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,883C,88.3 C,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,883D,88.3 D,yes,12/01/2003,,CM 41-01 (2003)
SSRU,CCAMLR Fishery Small Scale Research Units,5844bC,58.4.4b C,yes,12/01/2000,,CM 200/XIX
SSRU,CCAMLR Fishery Small Scale Research Units,5844bD,58.4.4b D,yes,12/01/2000,,CM 200/XIX
SSRU,CCAMLR Fishery Small Scale Research Units,587B,58.7 B,yes,1/12/2016,,
RB,CCAMLR Fishery Research Blocks,883_8,88.3_8,no,1/12/2019,1/12/2024,WG-SAM-2019/02
RB,CCAMLR Fishery Research Blocks,883_9,88.3_9,no,1/12/2019,1/12/2024,WG-SAM-2019/02
RB,CCAMLR Fishery Research Blocks,883_10,88.3_10,no,1/12/2019,1/12/2024,WG-SAM-2019/02
RB,CCAMLR Fishery Research Blocks,481_3,48.1_3,no,1/12/2018,1/12/2020,"WG-FSA-18/20 Rev. 1, Table 1"
RB,CCAMLR Fishery Research Blocks,5842_2,58.4.2_2,yes,1/12/2021,,CM 41-05(2021)
RB,CCAMLR Fishery Research Blocks,482_S,48.2_S,no,1/12/2015,1/12/2020,
RB,CCAMLR Fishery Research Blocks,5844b_1,58.4.4b_1,no,1/12/2015,1/12/2020,
RB,CCAMLR Fishery Research Blocks,5844b_2,58.4.4b_2,no,1/12/2015,1/12/2020,
RB,CCAMLR Fishery Research Blocks,481_1,48.1_1,no,1/12/2018,1/12/2020,"WG-FSA-18/20 Rev. 1, Table 1"
RB,CCAMLR Fishery Research Blocks,883_12,88.3_12,yes,1/12/2024,,WG-FSA-IMAF-2024 table 10
RB,CCAMLR Fishery Research Blocks,883_11,88.3_11,yes,1/12/2024,,WG-FSA-IMAF-2024 table 10
RB,CCAMLR Fishery Research Blocks,481_2,48.1_2,no,1/12/2018,1/12/2020,
RB,CCAMLR Fishery Research Blocks,486_3,48.6_3,yes,1/12/2012,,CM 41-04(2012)
RB,CCAMLR Fishery Research Blocks,882_4,88.2_4,yes,1/12/2014,,CM 41-10(2014)
RB,CCAMLR Fishery Research Blocks,883_1,88.3_1,yes,1/12/2015,," WG-FSA-15 report Figure 2
"
RB,CCAMLR Fishery Research Blocks,486_2,48.6_2,yes,1/12/2012,,CM 41-04(2012)
RB,CCAMLR Fishery Research Blocks,486_4,48.6_4,yes,1/12/2015,,CM 41-04(2015)
RB,CCAMLR Fishery Research Blocks,486_5,48.6_5,yes,1/12/2013,,CM 41-04(2013)
RB,CCAMLR Fishery Research Blocks,5841_1,58.4.1_1,yes,1/12/2012,,CM 41-11(2012)
RB,CCAMLR Fishery Research Blocks,5841_2,58.4.1_2,yes,1/12/2012,,CM 41-11(2012)
RB,CCAMLR Fishery Research Blocks,5841_3,58.4.1_3,yes,1/12/2012,,CM 41-11(2012)
RB,CCAMLR Fishery Research Blocks,5841_4,58.4.1_4,yes,1/12/2012,,CM 41-11(2012)
RB,CCAMLR Fishery Research Blocks,5841_5,58.4.1_5,yes,1/12/2012,,CM 41-11(2012)
RB,CCAMLR Fishery Research Blocks,5841_6,58.4.1_6,yes,1/12/2016,,CM 41-11(2016)
RB,CCAMLR Fishery Research Blocks,5842_1,58.4.2_1,yes,1/12/2012,,CM 41-05(2012)
RB,CCAMLR Fishery Research Blocks,5843a_1,58.4.3a_1,no,1/12/2012,1/12/2020,CM 41-05(2012)
RB,CCAMLR Fishery Research Blocks,883_2,88.3_2,yes,1/12/2015,," WG-FSA-15 report Figure 2
"
RB,CCAMLR Fishery Research Blocks,883_3,88.3_3,yes,1/12/2015,,WG-FSA-15 report Figure 2
RB,CCAMLR Fishery Research Blocks,883_4,88.3_4,yes,1/12/2015,,WG-FSA-15 report Figure 2
RB,CCAMLR Fishery Research Blocks,482_N,48.2_N,no,1/12/2015,1/12/2020,
RB,CCAMLR Fishery Research Blocks,883_5,88.3_5,no,1/12/2015,1/12/2024,WG-FSA-15 report Figure 2
RB,CCAMLR Fishery Research Blocks,882_1,88.2_1,yes,1/12/2014,,CM 41-10(2014)
RB,CCAMLR Fishery Research Blocks,882_2,88.2_2,yes,1/12/2014,,CM 41-10(2014)
RB,CCAMLR Fishery Research Blocks,882_3,88.2_3,yes,1/12/2014,,CM 41-10(2014)
RB,CCAMLR Fishery Research Blocks,883_6,88.3_6,yes,1/12/2019,,WG-SAM-2019/02
RB,CCAMLR Fishery Research Blocks,883_7,88.3_7,no,1/12/2019,1/12/2024,WG-SAM-2019/02
MPAPD,CCAMLR MPA Planning Domains,2,North Scotia Arc,yes,1/12/2011,,
MPAPD,CCAMLR MPA Planning Domains,4,Bouvet-Maud,yes,1/12/2011,,
MPAPD,CCAMLR MPA Planning Domains,5,del Cano - Crozet,yes,1/12/2011,,
MPAPD,CCAMLR MPA Planning Domains,6,Kerguelen Plateau,yes,1/12/2011,,
MPAPD,CCAMLR MPA Planning Domains,8,Ross Sea,yes,1/12/2011,,
MPAPD,CCAMLR MPA Planning Domains,9,Amundsen - Bellingshausen,yes,1/12/2011,,
MPAPD,CCAMLR MPA Planning Domains,1,Western Antarctic Peninsula - South Scotia Arc,yes,1/12/2011,,
MPAPD,CCAMLR MPA Planning Domains,7,East Antarctica,yes,1/12/2011,,
MPAPD,CCAMLR MPA Planning Domains,3,Weddell Sea,yes,1/12/2011,,
SSMU,CCAMLR Fishery Small Scale Management Units,APPA,APPA,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,APW,APW,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,APDPW,APDPW,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,APDPE,APDPE,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,APBSW,APBSW,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,APBSE,APBSE,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,APEI,APEI,yes,1/12/2002,,
