ID,Active_raw,Start_date,End_date,Reference
SGE,Yes,1/12/2002,,WSSMUPU-02
APE,Yes,1/12/2002,,WSSMUPU-02
486A,Yes,12/01/2007,,CM 41-01 (2007)
486B,Yes,12/01/2002,,CM 41-01 (2002)
486C,Yes,12/01/2002,,CM 41-01 (2002)
486D,Yes,12/01/2002,,CM 41-01 (2002)
486E,Yes,12/01/2002,,CM 41-01 (2002)
486F,Yes,12/01/2002,,CM 41-01 (2002)
486G,Yes,12/01/2007,,CM 41-01 (2007)
5841A,Yes,12/01/2003,,CM 41-01 (2003)
5841B,Yes,12/01/2003,,CM 41-01 (2003)
5841C,Yes,12/01/2003,,CM 41-01 (2003)
5841D,Yes,12/01/2003,,CM 41-01 (2003)
5841E,Yes,12/01/2003,,CM 41-01 (2003)
5841F,Yes,12/01/2003,,CM 41-01 (2003)
5841G,Yes,12/01/2003,,CM 41-01 (2003)
5841H,Yes,12/01/2003,,CM 41-01 (2003)
5842A,Yes,12/01/2002,,CM 41-01 (2002)
5842B,Yes,12/01/2002,,CM 41-01 (2002)
5842C,Yes,12/01/2002,,CM 41-01 (2002)
5842D,Yes,12/01/2002,,CM 41-01 (2002)
5842E,Yes,12/01/2003,,CM 41-01 (2003)
5843aA,Yes,12/01/2002,,CM 41-01 (2002)
5843bA,Yes,12/01/2008,,CM 41-01 (2008)
5843bB,Yes,12/01/2008,,CM 41-01 (2008)
5843bC,Yes,12/01/2008,,CM 41-01 (2008)
5843bD,Yes,12/01/2008,,CM 41-01 (2008)
5843bE,Yes,12/01/2008,,CM 41-01 (2008)
5844aA,Yes,12/01/2000,,CM 200/XIX
5844aB,Yes,12/01/2000,,CM 200/XIX
5844aD,Yes,12/01/2000,,CM 200/XIX
5844bB,Yes,12/01/2000,,CM 200/XIX
586B,Yes,12/01/2000,,CM 200/XIX
586C,Yes,12/01/2000,,CM 200/XIX
586D,Yes,12/01/2000,,CM 200/XIX
587A,Yes,12/01/2000,,CM 200/XIX
881A,Yes,12/01/2003,,CM 41-01 (2003)
881B,Yes,12/01/2003,,CM 41-01 (2003)
881C,Yes,12/01/2003,,CM 41-01 (2003)
